"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url";"ideology";"wikidata_birthdate";"wikidata_enddate"
"Бондарев, Т. М.";"Бондарев";"Т. М.";"Т. М.";"Бондарев";"Бондареву";"";"Бондарев, Т. М.";"random_id0870fa6c96426353411bd684c1005d3b25ddf39b";"random_id0870fa6c96426353411bd684c1005d3b25ddf39b";"";"";""
"Бонч-Бруевич, В. Д.";"Бонч-Бруевич";"В. Д.";"В. Д.";"Бонч-Бруевич";"Бонч-Бруевичу";"";"Бонч-Бруевич, В. Д.";"random_id75a1ebb5b4f8ce537cedbed8e187719d03384594";"random_id75a1ebb5b4f8ce537cedbed8e187719d03384594";"";"";""
"Бонье, С. П.";"Бонье";"С. П.";"С. П.";"Бонье";"Бонье";"";"Бонье, С. П.";"random_id2bf0dabee0c3be0383671af56f0809ee1522514e";"random_id2bf0dabee0c3be0383671af56f0809ee1522514e";"";"";""
"Бооль, К. К.";"Бооль";"К. К.";"К. К.";"Бооль";"Бооль";"";"Бооль, К. К.";"random_idd40a8a117daa3a14f0d05b2ad2103d9b60f9e407";"random_idd40a8a117daa3a14f0d05b2ad2103d9b60f9e407";"";"";""
"Бооль, Н. Л.";"Бооль";"Н. Л.";"Н. Л.";"Бооль";"Боолю";"";"Бооль, Н. Л.";"random_id96f4a78a151aabc2fe0f6e800f48801a60910a96";"random_id96f4a78a151aabc2fe0f6e800f48801a60910a96";"";"";""
"Бордаков, П.";"Бордаков";"П.";"П.";"Бордаков";"Бордакову";"";"Бордаков, П.";"random_id5c52cbd515c27071e7a198689370a61aa9909f8f";"random_id5c52cbd515c27071e7a198689370a61aa9909f8f";"";"";""
"Бордюгово, И. И.";"Бордюгово";"И. И.";"И. И.";"Бордюгово";"Бордюгову";"";"Бордюгово, И. И.";"random_idf914b993d65578e87124457b06b2024b8a9aa72b";"random_idf914b993d65578e87124457b06b2024b8a9aa72b";"";"";""
"Бордюков, И. И.";"Бордюков";"И. И.";"И. И.";"Бордюков";"Бордюков";"Бордюков, И. И.";"Бордюков, И. И.";"random_id98d55489c191fa100e73e067ade0041aee9abe9d";"random_id98d55489c191fa100e73e067ade0041aee9abe9d";"";"";""
"Бори, И. А.";"Бори";"И. А.";"И. А.";"Бори";"Бори";"";"Бори, И. А.";"random_idbaedb0f34846db28074bb62a2d5552638c00ce51";"random_idbaedb0f34846db28074bb62a2d5552638c00ce51";"";"";""
"Борисов";"Борисов";"";"";"Борисов";"Борисову";"";"Борисов";"Q30958959";"https://www.wikidata.org/wiki/Q30958959";"";"1899";""
"Борисов, И. П.";"Борисов";"И. П.";"И. П.";"Борисов";"Борисову";"";"Борисов, И. П.";"random_id637033ef75d17d0c45aec41c30e232264f9d352c";"random_id637033ef75d17d0c45aec41c30e232264f9d352c";"";"";""
"Борисов, Иннокентию А.";"Борисов";"Иннокентию А.";"Иннокентию А.";"Борисов";"Борисову";"";"Борисов, Иннокентию А.";"random_idc2fde4dbe19ce786764b35617ad8934e78688d37";"random_idc2fde4dbe19ce786764b35617ad8934e78688d37";"";"";""
"Борисов, М. П.";"Борисов";"М. П.";"М. П.";"Борисов";"Борисову";"";"Борисов, М. П.";"random_id8a8f237bdd5ce45619a05170804c95188761f11e";"random_id8a8f237bdd5ce45619a05170804c95188761f11e";"";"";""
"Борисов, П. И.";"Борисов";"П. И.";"П. И.";"Борисов";"Борисову";"";"Борисов, П. И.";"random_id90bc48911a9a4af5e561734167410fcfed0a80a4";"random_id90bc48911a9a4af5e561734167410fcfed0a80a4";"";"";""
"Борисов, Ф. П.";"Борисов";"Ф. П.";"Ф. П.";"Борисов";"Борисову";"";"Борисов, Ф. П.";"random_id6ed036847aa10ddb481e5df2cb333ed01f194310";"random_id6ed036847aa10ddb481e5df2cb333ed01f194310";"";"";""
"Борисяк, И.";"Борисяк";"И.";"И.";"Борисяк";"Борисяк";"Борисяк, И.";"Борисяк, И.";"random_id5c0fbd2963d2dbab220f58c234fac402ac7d42a9";"random_id5c0fbd2963d2dbab220f58c234fac402ac7d42a9";"";"";""
"Борн, И. М.";"Борн";"И. М.";"И. М.";"Борн";"Борну";"";"Борн, И. М.";"random_ide1be67c91aeeb4bf8343dc18099f4af1a382c5b7";"random_ide1be67c91aeeb4bf8343dc18099f4af1a382c5b7";"";"";""
"Боровиковский, А. Л.";"Боровиковский";"А. Л.";"А. Л.";"Боровиковский";"Боровиковскому";"";"Боровиковский, А. Л.";"Q4094270";"https://www.wikidata.org/wiki/Q4094270";"";"1844";"1905"
"Бородаевский, А. С.";"Бородаевский";"А. С.";"А. С.";"Бородаевский";"Бородаевскому";"";"Бородаевский, А. С.";"random_ide3045fa3f4cb1b703428cfc43db134e8bb8697b7";"random_ide3045fa3f4cb1b703428cfc43db134e8bb8697b7";"";"";""
"Бородин, А. П.";"Бородин";"А. П.";"А. П.";"Бородин";"Бородину";"";"Бородин, А. П.";"Q164004";"https://www.wikidata.org/wiki/Q164004";"";"1833";"1887"
"Бородин, Д. Н.";"Бородин";"Д. Н.";"Д. Н.";"Бородин";"Бородину";"";"Бородин, Д. Н.";"random_idd0128b2a757ee87d42ddbf091ed346eea552713b";"random_idd0128b2a757ee87d42ddbf091ed346eea552713b";"";"";""
"Бороздин, К. М.";"Бороздин";"К. М.";"К. М.";"Бороздин";"Бороздину";"";"Бороздин, К. М.";"random_idac47bb13730db49d76c09806682674abaa871350";"random_idac47bb13730db49d76c09806682674abaa871350";"";"";""
"Борро, Д.";"Борро";"Д.";"Д.";"Борро";"Борро";"";"Борро, Д.";"random_id3fc6998494c4dae4aea1c018ed27e92d24dd576a";"random_id3fc6998494c4dae4aea1c018ed27e92d24dd576a";"";"";""
"Бортнянский, Д. С.";"Бортнянский";"Д. С.";"Д. С.";"Бортнянский";"Бортнянскому";"";"Бортнянский, Д. С.";"Q316505";"https://www.wikidata.org/wiki/Q316505";"";"1751";"1825"
"Борунов, И. П.";"Борунов";"И. П.";"И. П.";"Борунов";"Борунову";"";"Борунов, И. П.";"random_id60f6b49a3d9421b9bd97f944c719cffae03a7ed5";"random_id60f6b49a3d9421b9bd97f944c719cffae03a7ed5";"";"";""
"Ботвинник, Н. Р.";"Ботвинник";"Н. Р.";"Н. Р.";"Ботвинник";"Ботвиннику";"";"Ботвинник, Н. Р.";"random_id4790e400c1fb956141f1b3e1929f79e2468d5244";"random_id4790e400c1fb956141f1b3e1929f79e2468d5244";"";"";""
"Боткин, В. И.";"Боткин";"В. И.";"В. И.";"Боткин";"Боткину";"";"Боткин, В. И.";"random_idcb5f670f964d72bd025b9a8cb630e0e30719a414";"random_idcb5f670f964d72bd025b9a8cb630e0e30719a414";"";"";""
"Боткин, В. П.";"Боткин";"Василий Петрович";"В. П.";"Боткин";"Боткину";"Боткин, Василий Петрович";"Боткин, В. П.";"Q2385068";"https://www.wikidata.org/wiki/Q2385068";"запад";"1812";"1869"
"Боткин, Василий Петрович";"Боткин";"Василий Петрович";"В. П.";"Боткин";"Боткин";"Боткин, Василий Петрович";"Боткин, В. П.";"Q2385068";"https://www.wikidata.org/wiki/Q2385068";"запад";"1812";"1869"
"Боткин, М. П.";"Боткин";"М. П.";"М. П.";"Боткин";"Боткину";"";"Боткин, М. П.";"random_id325f8b2974f8f677651c3d9f9ebb28f00893968c";"random_id325f8b2974f8f677651c3d9f9ebb28f00893968c";"";"";""
"Боткин, Н. П.";"Боткин";"Николай Петрович";"Н. П.";"Боткин";"Боткину";"Боткин, Николай Петрович";"Боткин, Н. П.";"random_id03620039d83dd3d64be34ce1533fb3a13271574e";"random_id03620039d83dd3d64be34ce1533fb3a13271574e";"";"";""
"Боткин, Николай Петрович";"Боткин";"Николай Петрович";"Н. П.";"Боткин";"Боткин";"Боткин, Николай Петрович";"Боткин, Н. П.";"random_id58c1d1db658ff4451a85eabb6f3b9de619c74c12";"random_id58c1d1db658ff4451a85eabb6f3b9de619c74c12";"";"";""
"Боткин, П. Д.";"Боткин";"П. Д.";"П. Д.";"Боткин";"Боткину";"";"Боткин, П. Д.";"random_id313e613937da5bfc31680af26d2fbd251de8f838";"random_id313e613937da5bfc31680af26d2fbd251de8f838";"";"";""
"Боткин, С. П.";"Боткин";"С. П.";"С. П.";"Боткин";"Боткину";"";"Боткин, С. П.";"Q26003";"https://www.wikidata.org/wiki/Q26003";"";"1832";"1889"
"Боткина-Фет, М. П.";"Боткина-Фет";"М. П.";"М. П.";"Боткина-Фет";"Боткиной-Фет";"";"Боткина-Фет, М. П.";"random_id03b39c5e532d2bab091cf01abe2e48b4f4c669fe";"random_id03b39c5e532d2bab091cf01abe2e48b4f4c669fe";"";"";""
"Боткина, Е. А.";"Боткина";"Е. А.";"Е. А.";"Боткина";"Боткиной";"";"Боткина, Е. А.";"random_idcca1de0ebaeba606aae674a90728563ea2694456";"random_idcca1de0ebaeba606aae674a90728563ea2694456";"";"";""
"Бочарников, М. А.";"Бочарников";"М. А.";"М. А.";"Бочарников";"Бочарникову";"";"Бочарников, М. А.";"random_id7d5918d5569cd02136efb564600348532ce53257";"random_id7d5918d5569cd02136efb564600348532ce53257";"";"";""
"Бочелл";"Бочелл";"";"";"Бочелл";"Бочелл";"Бочелл";"Бочелл, ";"random_idca0bde2ef9670290b6c509b1f588a1bde92a777a";"random_idca0bde2ef9670290b6c509b1f588a1bde92a777a";"";"";""
"Бояркин, Я. А.";"Бояркин";"Я. А.";"Я. А.";"Бояркин";"Бояркину";"";"Бояркин, Я. А.";"random_ida92234fdc80322e988b166a31e7f9c46821f8397";"random_ida92234fdc80322e988b166a31e7f9c46821f8397";"";"";""
"Бояров, П. Н.";"Бояров";"П. Н.";"П. Н.";"Бояров";"Боярову";"";"Бояров, П. Н.";"random_id9f330b8d8e75450e209e9a3f6b7a5df3e0b31b85";"random_id9f330b8d8e75450e209e9a3f6b7a5df3e0b31b85";"";"";""
"Браз, И. Э.";"Браз";"И. Э.";"И. Э.";"Браз";"Бразу";"";"Браз, И. Э.";"random_id642fd447795fcd3c70e507abef4132a47fd3bb3b";"random_id642fd447795fcd3c70e507abef4132a47fd3bb3b";"";"";""
"Бракер, Н. А.";"Бракер";"Н. А.";"Н. А.";"Бракер";"Бракер";"";"Бракер, Н. А.";"random_id9e8ada288f55f3699141ebb7ada9b1779a54beb5";"random_id9e8ada288f55f3699141ebb7ada9b1779a54beb5";"";"";""
"Брандт, Ф. Ф.";"Брандт";"Ф. Ф.";"Ф. Ф.";"Брандт";"Брандту";"";"Брандт, Ф. Ф.";"Q57361";"https://www.wikidata.org/wiki/Q57361";"";"1802";"1879"
"Братский издательский товарищество";"Братский издательский товарищество";"";"";"Братский издательский товарищество";"Братскому издательскому товариществу";"";"Братский издательский товарищество";"random_idd6e41c18747fdfd96f4cadc34518cbf3c48f0e71";"random_idd6e41c18747fdfd96f4cadc34518cbf3c48f0e71";"";"";""
"Братство с. Яполоть";"Братство с. Яполоть";"";"";"Братство с. Яполоть";"Братству с. Яполоти";"";"Братство с. Яполоть";"random_id2d24c8dbbfe3667601567d35fac25f8cf524817c";"random_id2d24c8dbbfe3667601567d35fac25f8cf524817c";"";"";""
"Братусев, Т. Я.";"Братусев";"Т. Я.";"Т. Я.";"Братусев";"Братусеву";"";"Братусев, Т. Я.";"random_ida8910a0d7db2ddbbc9b5eb401593bf7275d10ca4";"random_ida8910a0d7db2ddbbc9b5eb401593bf7275d10ca4";"";"";""
"Браун, Р.";"Браун";"Р.";"Р.";"Браун";"Брауну";"";"Браун, Р.";"Q155764";"https://www.wikidata.org/wiki/Q155764";"";"1773";"1858"
"Бреззовский, О. П.";"Бреззовский";"О. П.";"О. П.";"Бреззовский";"Бреззовскому";"";"Бреззовский, О. П.";"random_id883456942dde5fc0177652a71e9d48c0fa8c56b0";"random_id883456942dde5fc0177652a71e9d48c0fa8c56b0";"";"";""
"Брейткопф";"Брейткопф";"";"";"Брейткопф";"Брейткопф";"";"Брейткопф";"Q19886248";"https://www.wikidata.org/wiki/Q19886248";"";"1751";"1823"
"Бренко, А. А.";"Бренко";"А. А.";"А. А.";"Бренко";"Бренко";"";"Бренко, А. А.";"random_id92797df8e4fda70d06c64e35a67a8bcdd43464e1";"random_id92797df8e4fda70d06c64e35a67a8bcdd43464e1";"";"";""
"Бриген, А. Ф. фон-дер";"Бриген";"А. Ф. фон-дер";"А. Ф. фон-дер";"Бриген";"Бригену";"";"Бриген, А. Ф. фон-дер";"random_id3bab60eeed6f74068a77f162e7fb5512fd51bcbc";"random_id3bab60eeed6f74068a77f162e7fb5512fd51bcbc";"";"";""
"Бриллиантов, С.";"Бриллиантов";"С.";"С.";"Бриллиантов";"Бриллиантову";"";"Бриллиантов, С.";"random_id609b4b91ef0d408e28716357d59414d884beba8d";"random_id609b4b91ef0d408e28716357d59414d884beba8d";"";"";""
"Брихничев, И.";"Брихничев";"И.";"И.";"Брихничев";"Брихничеву";"";"Брихничев, И.";"random_id481a80e522af35b8dad4b8e2a41dc8bad1d09cf9";"random_id481a80e522af35b8dad4b8e2a41dc8bad1d09cf9";"";"";""
"Бровцын, А. Ф.";"Бровцын";"А. Ф.";"А. Ф.";"Бровцын";"Бровцыну";"";"Бровцын, А. Ф.";"random_id97677f6bd60f643645a2c7f12c6446ebbbf0b93d";"random_id97677f6bd60f643645a2c7f12c6446ebbbf0b93d";"";"";""
"Бродский, Л. И.";"Бродский";"Л. И.";"Л. И.";"Бродский";"Бродскому";"";"Бродский, Л. И.";"random_idb8feb63f34d500d0968a03347cc8d03f03fd95ba";"random_idb8feb63f34d500d0968a03347cc8d03f03fd95ba";"";"";""
"Брок, П. Ф.";"Брок";"П. Ф.";"П. Ф.";"Брок";"Броку";"";"Брок, П. Ф.";"Q3388946";"https://www.wikidata.org/wiki/Q3388946";"";"1805";"1875"
"Брондстед, А.";"Брондстед";"А.";"А.";"Брондстед";"Брондстед";"";"Брондстед, А.";"random_iddd17a837b6120103bc8b03377319ef7220e7d925";"random_iddd17a837b6120103bc8b03377319ef7220e7d925";"";"";""
"Бруни, А. А.";"Бруни";"А. А.";"А. А.";"Бруни";"Бруни";"";"Бруни, А. А.";"Q983223";"https://www.wikidata.org/wiki/Q983223";"";"1799";"1875"
"Бруно Фрейданк";"Бруно Фрейданк";"";"";"Бруно Фрейданк";"Бруно Фрейданк";"";"Бруно Фрейданк";"random_id6495940f41e28d4ca98fe53c301d85c508de6aec";"random_id6495940f41e28d4ca98fe53c301d85c508de6aec";"";"";""
"Брусилов, С. Л.";"Брусилов";"С. Л.";"С. Л.";"Брусилов";"Брусилову";"";"Брусилов, С. Л.";"random_id62e0d3656a2658dec58025e3667f594d887d4909";"random_id62e0d3656a2658dec58025e3667f594d887d4909";"";"";""
"Брызгалов, П.";"Брызгалов";"П.";"П.";"Брызгалов";"Брызгалову";"";"Брызгалов, П.";"random_idf479a9f13b913a9fb7a000c21edb8808acf43775";"random_idf479a9f13b913a9fb7a000c21edb8808acf43775";"";"";""
"Брюллов, А. П.";"Брюллов";"А. П.";"А. П.";"Брюллов";"Брюллову";"";"Брюллов, А. П.";"Q620766";"https://www.wikidata.org/wiki/Q620766";"";"1798";"1877"
"Брюллов, К. П.";"Брюллов";"К. П.";"К. П.";"Брюллов";"Брюллову";"";"Брюллов, К. П.";"Q4768";"https://www.wikidata.org/wiki/Q4768";"";"1799";"1852"
"Брюллова, С. К.";"Брюллова";"С. К.";"С. К.";"Брюллова";"Брюлловой";"";"Брюллова, С. К.";"random_id043bb3463a0a138504b346a0310cbef0d0429e7f";"random_id043bb3463a0a138504b346a0310cbef0d0429e7f";"";"";""
"Брюль, К. М. фон";"Брюль";"К. М. фон";"К. М. фон";"Брюль";"Брюлю";"";"Брюль, К. М. фон";"random_id8ced18082c571ed9bbdbd537a2ebd4399e743027";"random_id8ced18082c571ed9bbdbd537a2ebd4399e743027";"";"";""
"Брюль, К. Ф. М. фон";"Брюль";"К. Ф. М. фон";"К. Ф. М. фон";"Брюль";"Брюлю";"";"Брюль, К. Ф. М. фон";"random_id580eb0b5d3245a1dbe97f7429ca836dde338fee3";"random_id580eb0b5d3245a1dbe97f7429ca836dde338fee3";"";"";""
"Брянцев, И. Д.";"Брянцев";"И. Д.";"И. Д.";"Брянцев";"Брянцеву";"";"Брянцев, И. Д.";"random_id725c67c774f7e3b6d66913baf8a2aae479899a85";"random_id725c67c774f7e3b6d66913baf8a2aae479899a85";"";"";""
"Брянцев, Н. А.";"Брянцев";"Н. А.";"Н. А.";"Брянцев";"Брянцеву";"";"Брянцев, Н. А.";"random_idecb67532b564fa01369e9e44a6dd7973c6dfb436";"random_idecb67532b564fa01369e9e44a6dd7973c6dfb436";"";"";""
"Брянчанинов, А. А.";"Брянчанинов";"А. А.";"А. А.";"Брянчанинов";"Брянчанинову";"";"Брянчанинов, А. А.";"random_idfe59e16c1392aacdbe28cb59dd877446be149424";"random_idfe59e16c1392aacdbe28cb59dd877446be149424";"";"";""
"Бубнов, Б. М.";"Бубнов";"Б. М.";"Б. М.";"Бубнов";"Бубнову";"";"Бубнов, Б. М.";"random_id73a10940c2ab2ca0448b2bcb4063daac494af772";"random_id73a10940c2ab2ca0448b2bcb4063daac494af772";"";"";""
"Бубнова, В. М.";"Бубнова";"В. М.";"В. М.";"Бубнова";"Бубновой";"";"Бубнова, В. М.";"random_id0ab84f2388cb78ba6fbfdcb6ece012eca809483a";"random_id0ab84f2388cb78ba6fbfdcb6ece012eca809483a";"";"";""
"Будаевский, Н.";"Будаевский";"Н.";"Н.";"Будаевский";"Будаевскому";"";"Будаевский, Н.";"random_id2b71a11f3b3527a94ea68cad2a7faf244c2cc858";"random_id2b71a11f3b3527a94ea68cad2a7faf244c2cc858";"";"";""
"Будберг, А. Ф.";"Будберг";"А. Ф.";"А. Ф.";"Будберг";"Будбергу";"";"Будберг, А. Ф.";"random_idbc79a8d18e8eef6ce612576158602545c0b46c5d";"random_idbc79a8d18e8eef6ce612576158602545c0b46c5d";"";"";""
"Будьян, П. С.";"Будьян";"П. С.";"П. С.";"Будьян";"Будьяну";"";"Будьян, П. С.";"random_idc5a1a5d834ccb60e828b72c9a240c2d1c0885b68";"random_idc5a1a5d834ccb60e828b72c9a240c2d1c0885b68";"";"";""
"Буклеевая, П. Ф.";"Буклеевая";"П. Ф.";"П. Ф.";"Буклеевая";"Буклеевой";"";"Буклеевая, П. Ф.";"random_id698a0bfc23766bbbe4cfebae4013c33077d64cb8";"random_id698a0bfc23766bbbe4cfebae4013c33077d64cb8";"";"";""
"Буланже, М. В.";"Буланже";"М. В.";"М. В.";"Буланже";"Буланже";"";"Буланже, М. В.";"random_idefbf38bc17be522a1c505c601ba6dcac40b60dab";"random_idefbf38bc17be522a1c505c601ba6dcac40b60dab";"";"";""
"Буланже, П. А.";"Буланже";"П. А.";"П. А.";"Буланже";"Буланже";"";"Буланже, П. А.";"random_idf184ac7d9b606b95b6099bb833a31ba829fb0cb9";"random_idf184ac7d9b606b95b6099bb833a31ba829fb0cb9";"";"";""
"Булатов, В. Н.";"Булатов";"В. Н.";"В. Н.";"Булатов";"Булатову";"";"Булатов, В. Н.";"random_idbf04484710515f3329232fd19756c6b9c892cf22";"random_idbf04484710515f3329232fd19756c6b9c892cf22";"";"";""
"Булатович, В. Г.";"Булатович";"В. Г.";"В. Г.";"Булатович";"Булатовичу";"";"Булатович, В. Г.";"random_id99440c05fff70100198e14809cbdfb9f743c433e";"random_id99440c05fff70100198e14809cbdfb9f743c433e";"";"";""
"Булгаков, А. Я.";"Булгаков";"Александр Яковлевич";"А. Я.";"Булгаков";"Булгакову";"Булгаков, Александр Яковлевич";"Булгаков, А. Я.";"Q4098834";"https://www.wikidata.org/wiki/Q4098834";"";"1781";"1863"
"Булгаков, Александр Яковлевич";"Булгаков";"Александр Яковлевич";"А. Я.";"Булгаков";"Булгаков";"Булгаков, Александр Яковлевич";"Булгаков, А. Я.";"Q4098834";"https://www.wikidata.org/wiki/Q4098834";"";"1781";"1863"
"Булгаков, В. Ф.";"Булгаков";"В. Ф.";"В. Ф.";"Булгаков";"Булгакову";"";"Булгаков, В. Ф.";"random_id96446c5167b71fa1381c2be3e8abebd900b03e82";"random_id96446c5167b71fa1381c2be3e8abebd900b03e82";"";"";""
"Булгаков, К. Я.";"Булгаков";"К. Я.";"К. Я.";"Булгаков";"Булгакову";"";"Булгаков, К. Я.";"random_idca6fe37b829ccad69bf322aba5dea78121168564";"random_idca6fe37b829ccad69bf322aba5dea78121168564";"";"";""
"Булгарин";"Булгарин";"";"";"Булгарин";"Булгарину";"";"Булгарин";"Q561639";"https://www.wikidata.org/wiki/Q561639";"";"1789";"1859"
"Булгарин, Ф.";"Булгарин";"Ф.";"Ф.";"Булгарин";"Булгарину";"";"Булгарин, Ф.";"Q561639";"https://www.wikidata.org/wiki/Q561639";"";"1789";"1859"
"Булгарин, Ф. В.";"Булгарин";"Фаддей Венедиктович";"Ф. В.";"Булгарин";"Булгарину";"Булгарин, Фаддей Венедиктович";"Булгарин, Ф. В.";"Q561639";"https://www.wikidata.org/wiki/Q561639";"";"1789";"1859"
"Булгарин, Фаддей Венедиктович";"Булгарин";"Фаддей Венедиктович";"Ф. В.";"Булгарин";"Булгарин";"Булгарин, Фаддей Венедиктович";"Булгарин, Ф. В.";"Q561639";"https://www.wikidata.org/wiki/Q561639";"";"1789";"1859"
"Булгарина, Е. И.";"Булгарина";"Е. И.";"Е. И.";"Булгарина";"Булгариной";"";"Булгарина, Е. И.";"random_idb1107ca6e28afdd1d62e5f5eeae0898001389aea";"random_idb1107ca6e28afdd1d62e5f5eeae0898001389aea";"";"";""
"Булыгин, А. Г.";"Булыгин";"А. Г.";"А. Г.";"Булыгин";"Булыгину";"";"Булыгин, А. Г.";"Q2621928";"https://www.wikidata.org/wiki/Q2621928";"";"1851";"1919"
"Булыгин, М. В.";"Булыгин";"М. В.";"М. В.";"Булыгин";"Булыгину";"";"Булыгин, М. В.";"random_id8f9c43e058b1376dcb3dd1b23d398faa20ade57b";"random_id8f9c43e058b1376dcb3dd1b23d398faa20ade57b";"";"";""
"Булыгина, А. М.";"Булыгина";"А. М.";"А. М.";"Булыгина";"Булыгиной";"";"Булыгина, А. М.";"random_iddd83a8e980fb15ef454d42b18b5493b1035054ac";"random_iddd83a8e980fb15ef454d42b18b5493b1035054ac";"";"";""
"Бунаков, Н. Ф.";"Бунаков";"Н. Ф.";"Н. Ф.";"Бунаков";"Бунакову";"";"Бунаков, Н. Ф.";"random_id3dda41b881874e60052a23d0e97498d87a8c3f67";"random_id3dda41b881874e60052a23d0e97498d87a8c3f67";"";"";""
"Бунге, Фридрих Георг";"Бунге";"Фридрих Георг";"Ф. Г.";"Бунге";"Бунге";"Бунге, Фридрих Георг";"Бунге, Ф. Г.";"Q96360";"https://www.wikidata.org/wiki/Q96360";"";"1802";"1897"
"Бунин, И. А.";"Бунин";"И. А.";"И. А.";"Бунин";"Бунину";"";"Бунин, И. А.";"random_id9fb7e9f029121112f6bc855739ad29f376390bfd";"random_id9fb7e9f029121112f6bc855739ad29f376390bfd";"";"";""
"Бунина, Анна Петровна";"Бунина";"Анна Петровна";"А. П.";"Бунина";"Бунина";"Бунина, Анна Петровна";"Бунина, А. П.";"Q4099212";"https://www.wikidata.org/wiki/Q4099212";"";"1774";"1829"
"Бурачок, С.";"Бурачок";"С.";"С.";"Бурачок";"Бурачку";"";"Бурачок, С.";"Q4099374";"https://www.wikidata.org/wiki/Q4099374";"";"1800";"1876"
"Бурба, М. И.";"Бурба";"М. И.";"М. И.";"Бурба";"Бурба";"";"Бурба, М. И.";"random_ida234d31524bb9f86fad65c4475c207ff9abcb4c7";"random_ida234d31524bb9f86fad65c4475c207ff9abcb4c7";"";"";""
"Бурдери, Э.";"Бурдери";"Э.";"Э.";"Бурдери";"Бурдери";"";"Бурдери, Э.";"random_id7ca8c2600edb2b1b569e37907b7bb21a21eb79b4";"random_id7ca8c2600edb2b1b569e37907b7bb21a21eb79b4";"";"";""
"Бурдин, Ф. А.";"Бурдин";"Ф. А.";"Ф. А.";"Бурдин";"Бурдину";"";"Бурдин, Ф. А.";"random_id96a945b3a1c5234b87e56d56ba06c6cc6379508a";"random_id96a945b3a1c5234b87e56d56ba06c6cc6379508a";"";"";""
"Буренин, В.";"Буренин";"В.";"В.";"Буренин";"Буренину";"";"Буренин, В.";"random_id118e991d80bfce58a26653960dc36d6369fa3b58";"random_id118e991d80bfce58a26653960dc36d6369fa3b58";"";"";""
"Буренин, В. П.";"Буренин";"Виктор Петрович";"В. П.";"Буренин";"Буренину";"Буренин, Виктор Петрович";"Буренин, В. П.";"Q3558296";"https://www.wikidata.org/wiki/Q3558296";"";"1841";"1926"
"Буренин, Виктор Петрович";"Буренин";"Виктор Петрович";"В. П.";"Буренин";"Буренин";"Буренин, Виктор Петрович";"Буренин, В. П.";"Q3558296";"https://www.wikidata.org/wiki/Q3558296";"";"1841";"1926"
"Бурлаков, Н. Н.";"Бурлаков";"Н. Н.";"Н. Н.";"Бурлаков";"Бурлакову";"";"Бурлаков, Н. Н.";"random_idb5b535a9aa2ccc86c05d1ca550792bba93026bbe";"random_idb5b535a9aa2ccc86c05d1ca550792bba93026bbe";"";"";""
"Бурмейстер, К.";"Бурмейстер";"К.";"К.";"Бурмейстер";"Бурмейстер";"Бурмейстер, К.";"Бурмейстер, К.";"random_id191280974fcc989531b4a3606c32831db4606bab";"random_id191280974fcc989531b4a3606c32831db4606bab";"";"";""
"Буров, А. В.";"Буров";"А. В.";"А. В.";"Буров";"Бурову";"";"Буров, А. В.";"random_idbad1c5896bdc2b5cba17293113834f9377ac0936";"random_idbad1c5896bdc2b5cba17293113834f9377ac0936";"";"";""
"Бурылин, Д. Г.";"Бурылин";"Д. Г.";"Д. Г.";"Бурылин";"Бурылину";"";"Бурылин, Д. Г.";"random_ide04e8015754340bc47143f7f450bb68e32de1839";"random_ide04e8015754340bc47143f7f450bb68e32de1839";"";"";""
"Бурышкина, А.";"Бурышкина";"А.";"А.";"Бурышкина";"Бурышкиной";"";"Бурышкина, А.";"random_id0911e7bb95fb7fb31580c9ecead88283603e0f8e";"random_id0911e7bb95fb7fb31580c9ecead88283603e0f8e";"";"";""
"Буслаев, Фёдор Иванович";"Буслаев";"Фёдор Иванович";"Ф. И.";"Буслаев";"Буслаев";"Буслаев, Фёдор Иванович";"Буслаев, Ф. И.";"Q743184";"https://www.wikidata.org/wiki/Q743184";"";"1818";"1897"
"Бутаков, Г. И.";"Бутаков";"Г. И.";"Г. И.";"Бутаков";"Бутакову";"";"Бутаков, Г. И.";"Q966993";"https://www.wikidata.org/wiki/Q966993";"";"1820";"1882"
"Бутенев, А. П.";"Бутенев";"А. П.";"А. П.";"Бутенев";"Бутеневу";"";"Бутенев, А. П.";"random_idbdd8767fc722fe846dad44e42b21049e1450f15e";"random_idbdd8767fc722fe846dad44e42b21049e1450f15e";"";"";""
"Буткевич, А. А.";"Буткевич";"Анна Алексеевна";"А. А.";"Буткевич";"Буткевич";"Буткевич, Анна Алексеевна";"Буткевич, А. А.";"Q28665410";"https://www.wikidata.org/wiki/Q28665410";"";"1823";"1882"
"Буткевич, А. С.";"Буткевич";"А. С.";"А. С.";"Буткевич";"Буткевичу";"";"Буткевич, А. С.";"random_id605606df724ce8224c30b05989c965a68143a139";"random_id605606df724ce8224c30b05989c965a68143a139";"";"";""
"Буткевич, Анна Алексеевна";"Буткевич";"Анна Алексеевна";"А. А.";"Буткевич";"Буткевич";"Буткевич, Анна Алексеевна";"Буткевич, А. А.";"Q28665410";"https://www.wikidata.org/wiki/Q28665410";"";"1823";"1882"
