"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url";"ideology";"wikidata_birthdate";"wikidata_enddate"
"А. И. Тургенев";"А. И. Тургенев";"";"";"А. И. Тургенев";"А. И. Тургенев";"А. И. Тургенев";"А. И. Тургенев";"random_id3454fdd9cf5335d284a7e8f8e545121f5d41b111";"random_id3454fdd9cf5335d284a7e8f8e545121f5d41b111";"";"";""
"А. Лестрелен";"А. Лестрелен";"";"";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен";"random_idccd4cdfde5fe6dd10d563bef54350bcc67bd71f3";"random_idccd4cdfde5fe6dd10d563bef54350bcc67bd71f3";"";"";""
"А. П. Юшкова (Зонтаг)";"А. П. Юшкова (Зонтаг)";"";"";"А. П. Юшкова (Зонтаг)";"А. П. Юшковой (Зонтаг)";"";"А. П. Юшкова (Зонтаг)";"random_id5269940b61f721d4fac9f05b0ae48dc5512584d7";"random_id5269940b61f721d4fac9f05b0ae48dc5512584d7";"";"";""
"А. B. Топоров";"А. B. Топоров";"";"";"А. B. Топоров";"А. B. Топорову";"";"А. B. Топоров";"random_id81c5115a9c3c6b91a2f863c913a79521748f7204";"random_id81c5115a9c3c6b91a2f863c913a79521748f7204";"";"";""
"А. H. Бекетов";"А. H. Бекетов";"";"";"А. H. Бекетов";"А. H. Бекетову";"";"А. H. Бекетов";"random_idf76b10ca76812b1d7db4351b0db2565e258e5a6b";"random_idf76b10ca76812b1d7db4351b0db2565e258e5a6b";"";"";""
"А. H. Тургенев";"А. H. Тургенев";"";"";"А. H. Тургенев";"А. H. Тургеневу";"";"А. H. Тургенев";"random_id3e3da40e8003efce8ecbb5b2e766f6db56c0c1c4";"random_id3e3da40e8003efce8ecbb5b2e766f6db56c0c1c4";"";"";""
"Абаза, Александр Агеевич";"Абаза";"Александр Агеевич";"А. А.";"Абаза";"Абаза";"Абаза, Александр Агеевич";"Абаза, А. А.";"Q551333";"https://www.wikidata.org/wiki/Q551333";"";"1821";"1895"
"Абаза, В. К.";"Абаза";"В. К.";"В. К.";"Абаза";"Абазе";"";"Абаза, В. К.";"random_id5e1da473b0de5118e76554ce4a24bd7822f5f201";"random_id5e1da473b0de5118e76554ce4a24bd7822f5f201";"";"";""
"Абаза, Ю. Ф.";"Абаза";"Ю. Ф.";"Ю. Ф.";"Абаза";"Абаза";"";"Абаза, Ю. Ф.";"random_idf66caf95997d37349ce94ef40ea7158324aec25d";"random_idf66caf95997d37349ce94ef40ea7158324aec25d";"";"";""
"Абакумов, Ф. И.";"Абакумов";"Ф. И.";"Ф. И.";"Абакумов";"Абакумову";"";"Абакумов, Ф. И.";"random_id7f1aaf1399812ca1677244de4b59149d11dacf58";"random_id7f1aaf1399812ca1677244de4b59149d11dacf58";"";"";""
"Абамелек-Лазарев, С. С.";"Абамелек-Лазарев";"С. С.";"С. С.";"Абамелек-Лазарев";"Абамелек-Лазареву";"";"Абамелек-Лазарев, С. С.";"random_id52786c6a0d61f414810847864cc88069089c0a11";"random_id52786c6a0d61f414810847864cc88069089c0a11";"";"";""
"Абамелик-Лазарев, С. С.";"Абамелик-Лазарев";"С. С.";"С. С.";"Абамелик-Лазарев";"Абамелик-Лазареву";"";"Абамелик-Лазарев, С. С.";"random_id51cd5873f1c3fedabe333640a750a1eeb81ce383";"random_id51cd5873f1c3fedabe333640a750a1eeb81ce383";"";"";""
