"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Костомаров, Н. И.";"Костомаров";"Николай Иванович";"Н. И.";"Костомаров";"Костомарову";"Костомаров, Николай Иванович";"Костомаров, Н. И.";"Q742659";"https://www.wikidata.org/wiki/Q742659"
"Павлов, Н. М.";"Павлов";"Н. М.";"Н. М.";"Павлов";"Павлову";"";"Павлов, Н. М.";"Q4341535";"https://www.wikidata.org/wiki/Q4341535"
"Анке, Н. Н.";"Анке";"Н. Н.";"Н. Н.";"Анке";"Анке";"";"Анке, Н. Н.";"";""
"Гиляров-Платонов, Н. П.";"Гиляров-Платонов";"Н. П.";"Н. П.";"Гиляров-Платонов";"Гилярову-Платонову";"";"Гиляров-Платонов, Н. П.";"";""
"Марков, Н. П.";"Марков";"Н. П.";"Н. П.";"Марков";"Маркову";"";"Марков, Н. П.";"";""
"Лесков, Н. С.";"Лесков";"Николай Семёнович";"Н. С.";"Лесков";"Лескову";"Лесков, Николай Семёнович";"Лесков, Н. С.";"Q209004";"https://www.wikidata.org/wiki/Q209004"
"Соханская, Н. С.";"Соханская";"Надежда Степановна (Кохановская)";"Н. С.";"Соханская";"Соханской";"Соханская, Надежда Степановна (Кохановская)";"Соханская, Н. С.";"Q4430133";"https://www.wikidata.org/wiki/Q4430133"
"Неизвестная";"Неизвестная";"";"";"Неизвестная";"Неизвестной";"";"Неизвестная";"";""
"Неизвестный";"Неизвестный";"";"";"Неизвестный";"Неизвестному";"";"Неизвестный";"";""
"Неизвестные";"Неизвестные";"";"";"Неизвестные";"Неизвестным";"";"Неизвестные";"";""
"Новикова, О. А.";"Новикова";"О. А.";"О. А.";"Новикова";"Новиковой";"";"Новикова, О. А.";"";""
"Смирнова, О. Н.";"Смирнова";"О. Н.";"О. Н.";"Смирнова";"Смирновой";"";"Смирнова, О. Н.";"";""
"Аксакова, О. С.";"Аксакова";"Ольга Семеновна";"О. С.";"Аксакова";"Аксаковой";"Аксакова, Ольга Семеновна";"Аксакова, О. С.";"";""
"Агапеев, П.";"Агапеев";"П.";"П.";"Агапеев";"Агапееву";"";"Агапеев, П.";"";""
"Голохвастов, П. Д.";"Голохвастов";"П. Д.";"П. Д.";"Голохвастов";"Голохвастову";"";"Голохвастов, П. Д.";"";""
"Бартенев, П. И.";"Бартенев";"Пётр Иванович";"П. И.";"Бартенев";"Бартеневу";"Бартенев, Пётр Иванович";"Бартенев, П. И.";"Q4078671";"https://www.wikidata.org/wiki/Q4078671"
"Фадеев, Р. А.";"Фадеев";"Р. А.";"Р. А.";"Фадеев";"Фадееву";"";"Фадеев, Р. А.";"Q325788";"https://www.wikidata.org/wiki/Q325788"
"ред. «Отечественных записок»";"ред. «Отечественных записок»";"";"";"ред. «Отечественных записок»";"ред. «Отечественных записок»";"";"ред. «Отечественных записок»";"";""
"Мей, С. Г.";"Мей";"С. Г.";"С. Г.";"Мей";"Мей";"";"Мей, С. Г.";"";""
"Победоносцев, С. И.";"Победоносцев";"С. И.";"С. И.";"Победоносцев";"Победоносцеву";"";"Победоносцев, С. И.";"";""
"Пономарёв, С. И.";"Пономарёв";"С. И.";"С. И.";"Пономарёв";"Пономареву";"";"Пономарёв, С. И.";"";""
"Подгорецкий, С. С.";"Подгорецкий";"С. С.";"С. С.";"Подгорецкий";"Подгорецкому";"";"Подгорецкий, С. С.";"";""
"Аксаков, С. Т.";"Аксаков";"Сергей Тимофеевич";"С. Т.";"Аксаков";"Аксакову";"Аксаков, Сергей Тимофеевич";"Аксаков, С. Т.";"Q315188";"https://www.wikidata.org/wiki/Q315188"
"Аксаковы, С. Т.";"Аксаковы";"С. Т.";"С. Т.";"Аксаков";"Аксаковым";"";"Аксаков, С. Т.";"Q315188";"https://www.wikidata.org/wiki/Q315188"
"Аксаковы, О. С.";"Аксаковы";"О. С.";"О. С.";"Аксаков";"Аксаковым";"";"Аксаков, О. С.";"";""
"Сенат";"Сенат";"";"";"Сенат";"Сенату";"";"Сенат";"";""
"Боденштедт, Ф.";"Боденштедт";"Ф.";"Ф.";"Боденштедт";"Боденштедту";"";"Боденштедт, Ф.";"";""
"Нефёдов, Ф. Д.";"Нефёдов";"Филипп Диомидович";"Ф. Д.";"Нефёдов";"Нефедову";"Нефёдов, Филипп Диомидович";"Нефёдов, Ф. Д.";"Q4318175";"https://www.wikidata.org/wiki/Q4318175"
"Тютчев, Ф. И.";"Тютчев";"Фёдор Иванович";"Ф. И.";"Тютчев";"Тютчеву";"Тютчев, Фёдор Иванович";"Тютчев, Ф. И.";"Q37217";"https://www.wikidata.org/wiki/Q37217"
"Достоевский, Ф. М.";"Достоевский";"Фёдор Михайлович";"Ф. М.";"Достоевский";"Достоевскому";"Достоевский, Фёдор Михайлович";"Достоевский, Ф. М.";"Q991";"https://www.wikidata.org/wiki/Q991"
"Чижов, Ф. Ф.";"Чижов";"Ф. Ф.";"Ф. Ф.";"Чижов";"Чижову";"";"Чижов, Ф. Ф.";"";""
"Самарин, Ю. Ф.";"Самарин";"Юрий Фёдорович";"Ю. Ф.";"Самарин";"Самарину";"Самарин, Юрий Фёдорович";"Самарин, Ю. Ф.";"Q2993112";"https://www.wikidata.org/wiki/Q2993112"
"Грот, Я. К.";"Грот";"Яков Карлович";"Я. К.";"Грот";"Гроту";"Грот, Яков Карлович";"Грот, Я. К.";"Q2995186";"https://www.wikidata.org/wiki/Q2995186"
"Аксаков, Константин Сергеевич";"Аксаков";"Константин Сергеевич";"К. С.";"Аксаков";"Аксаков";"Аксаков, Константин Сергеевич";"Аксаков, К. С.";"Q722730";"https://www.wikidata.org/wiki/Q722730"
"Попов, А. Н.";"Попов";"А. Н.";"А. Н.";"Попов";"Попову";"";"Попов, А. Н.";"";""
"Панов, В. А.";"Панов";"В. А.";"В. А.";"Панов";"Панову";"";"Панов, В. А.";"";""
"Белинский, В. Г.";"Белинский";"Виссарион Григорьевич";"В. Г.";"Белинский";"Белинскому";"Белинский, Виссарион Григорьевич";"Белинский, В. Г.";"Q192885";"https://www.wikidata.org/wiki/Q192885"
"Аксакова, В. С.";"Аксакова";"В. С.";"В. С.";"Аксакова";"Аксаковой";"";"Аксакова, В. С.";"";""
"Карташевские, Г. Н.";"Карташевские";"Г. Н.";"Г. Н.";"Карташевские";"Карташевским";"";"Карташевские, Г. Н.";"";""
"Карташевские, Н. Т.";"Карташевские";"Н. Т.";"Н. Т.";"Карташевские";"Карташевским";"";"Карташевские, Н. Т.";"";""
"Аксаков, Г. С.";"Аксаков";"Г. С.";"Г. С.";"Аксаков";"Аксакову";"";"Аксаков, Г. С.";"Q4059837";"https://www.wikidata.org/wiki/Q4059837"
"Аксаковы, Г. С.";"Аксаковы";"Г. С.";"Г. С.";"Аксаков";"Аксаковым";"";"Аксаков, Г. С.";"Q4059837";"https://www.wikidata.org/wiki/Q4059837"
"Аксаковы, И. С.";"Аксаковы";"Иван Сергеевич";"И. С.";"Аксаков";"Аксаковым";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"Q722730";"https://www.wikidata.org/wiki/Q722730"
"Аксаков, И. С.";"Аксаков";"Иван Сергеевич";"И. С.";"Аксаков";"Аксакову";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"Q467630";"https://www.wikidata.org/wiki/Q467630"
"Карташевская, М. Г.";"Карташевская";"М. Г.";"М. Г.";"Карташевская";"Карташевской";"";"Карташевская, М. Г.";"";""
"Ригельман, Н. А.";"Ригельман";"Н. А.";"Н. А.";"Ригельман";"Ригельману";"";"Ригельман, Н. А.";"";""
