автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;;адресат;количество писем;даты
Языков, Николай Михайлович;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 1 июня 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 2 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Л. С. Пушкину. (1). 3 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Краевскому. (1). 6 июня 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 6 июня 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 7 июня 1836.;;;;;;
Дурова, Надежда Андреевна (Александра Андреевича Александрова);кавалеристка, офицер Русской императорской армии, участница Отечественной войны 1812 года, писательница;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 7 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Н. А. Дуровой. (1). ~ 10 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестной. (1). 23 мая — 14 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. И. Дмитриеву. (1). 14 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. И. Пеньковскому. (1). 14 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. И. Ушакову. (1). ~ 14 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;П. А. Вяземскому. (1). Конец мая — первая половина июня 1836.;;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). Конец мая — первая половина июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Краевскому. (1). 18 июня 1836.;;;;;;
Погодин, Михаил Петрович;историк, коллекционер, журналист и публицист, писатель-беллетрист, издатель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 23 июня 1836.;;;;;;
Дурова, Надежда Андреевна (Александра Андреевича Александрова);кавалеристка, офицер Русской императорской армии, участница Отечественной войны 1812 года, писательница;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 24 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Н. А. Дуровой. (1). ~ 25 июня 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 27 июня 1836.;;;;;;
Яковлев, Фёдор Иванович;писатель, педагог;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 29 июня 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Краевскому. (1). Вторая половина июня 1836.;;;;;;
Пушкин, Лев Сергеевич;младший брат А. С. Пушкина, его литературный секретарь, боевой офицер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Первые числа июля 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 7 июля 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. А. Яковлеву. (1). 9 июля 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 11 июля 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Н. И. Павлищеву. (1). 13 июля 1836.;;;;;;
Лавров, Николай Алексеевич;помещик Порховского у. Псковской;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15 июля 1836.;;;;;;
Кёппен, Пётр Иванович;учёный немецкого происхождения (издавал труды по истории, географии, этнографии, демографии и статистике);"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 17 июля 1836.;;;;;;
Неизвестный;;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 19 июля 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 20 июля 1836.;;;;;;
Крылов, Александр Лукич;профессор, цензор, редактор «Журнала министерства внутренних дел»;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 25 июля 1836.;;;;;;
Крылов, Александр Лукич;профессор, цензор, редактор «Журнала министерства внутренних дел»;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 27 июля 1836.;;;;;;
Крылов, Александр Лукич;профессор, цензор, редактор «Журнала министерства внутренних дел»;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 28 июля 1836.;;;;;;
"Никитин, Алексей Поликарпович; Мальцов, Иван Сергеевич; Соболевский, Сергей Александрович; Пушкин, Александр Сергеевич; Доливо-Добровольские Флор Иосифович";"воспитанник Академии художеств с 1813 по 1824 г., младший соученик Брюллова; крупный фабрикант, литератор и дипломат; библиофил, библиограф, автор эпиграмм и других шуточных стихотворений, друг Пушкина, Лермонтова; поэт; член совета при главноуправляющем над Почтовым депортаментом";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;К. П. Брюллову. (1). Июнь — июль 1836.;;;;;;
Дурова, Надежда Андреевна (Александра Андреевича Александрова);кавалеристка, офицер Русской императорской армии, участница Отечественной войны 1812 года, писательница;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 31 июля 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 1 августа 1836.;;;;;;
Кюхельбекер, Вильгельм Карлович;поэт, декабрист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 3 августа 1836.;;;;;;
Пушкин, Сергей Львович;отец Александра Пушкина, поэт-любитель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 7 августа 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 10 августа 1836.;;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 11 августа 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;К. И. Павлищеву. (1). ~ 13 августа 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. Л. Крылову. (1). Первая половина августа 1836.;;;;;;
Пушкин, Лев Сергеевич;младший брат А. С. Пушкина, его литературный секретарь, боевой офицер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 20 августа 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 21 августа 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 28 августа 1836.;;;;;;
Хмельницкий, Александр Иванович ;журналист, впосл. уполномоченный графа Г. А. Кушелева-Безбородко и сотрудник издаваемого им журнала «Русское слово»;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Июль — август 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Жандру. (1). Июль — август 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Краевскому. (1). Июль — август 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Д. В. Давыдову. (1). Август 1836.;;;;;;
Дирин, Сократ Николаевич;государственный деятель Российской империи, Эстляндский и Новгородский вице-губернатор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Конец августа — начало сентября 1836.;;;;;;
Кокошкин, Сергей Александрович;генерал-от-инфантерии, санкт-петербургский обер-полицмейстер, последний малороссийский генерал-губернатор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 5 сентября 1836.;;;;;;
Осипова, Прасковья Александровна (Вульф. Вындомская);псковская помещица, хозяйка усадьбы Тригорское, соседка А. С. Пушкина по имению Михайловское, близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 7 сентября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;П. А. Корсакову. (1). ~ 27 сентября 1835.;;;;;;
Корсаков, Пётр Александрович;журналист, писатель, драматург, переводчик и цензор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 28 сентября 1836.;;;;;;
Плещеев, Алексей Николаевич;писатель, поэт, переводчик, литературный и театральный критик;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 3 октября 1836.;;;;;;
Греч, Николай Иванович;писатель, издатель, редактор, журналист, публицист, филолог, переводчик;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 12 октября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Н. И. Гречу. (1). 13 октября 1836.;;;;;;
Корф, Модест Андреевич;барон, директор Императорской публичной библиотеки;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 13 октября 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 13 октября 1836.;;;;;;
Мартос, Петр Иванович;"воспитанник Нежинской гимназии высших наук (с окт. 1822, курса не кончил), с 1827 унтер-офицер 2-го уланского украинского полка, в 1838 штаб-ротмистр; помещик Лохвицкого у. Полтавской губ, автор воспоминаний о Гоголе";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 13 октября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;М. А. Корфу. (1). 14 октября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;М. Л. Яковлеву. (1). 9—15 октября 1836.;;;;;;
Кюхельбекер, Вильгельм Карлович;поэт, декабрист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 18 октября 1836.;;;;;;
Вигель, Филипп Филиппович;мемуарист, арзамасец;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). ~ 18 октября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. Я. Чаадаеву. (1). 19 октября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;С. Л. Пушкину. (1). 20 октября 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 22 октября 1836.;;;;;;
Россет, Клементий Осипович;брат А. О. Россет-Смирновой, в ноябре 1836 г. он был одним из лиц, получивших анонимный пасквиль для передачи Пушкину;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). ~ 22 октября 1836.;;;;;;
Корсаков, Пётр Александрович;журналист, писатель, драматург, переводчик и цензор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 25 октября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;П. А. Корсакову. (1). 25 октября 1836.;;;;;;
Устрялов, Николай Герасимович;историк, археограф, педагог, профессор русской истории Санкт-Петербургского университета;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 27 октября 1836.;;;;;;
Арсеньев, Дмитрий Николаевич;полковник лейб-гвардии Уланского полка, позже камергер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 29 октября 1836.;;;;;;
Врасский, Борис Алексеевич;писатель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 29 октября 1836.;;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Вторая половина октября 1836.;;;;;;
Анонимный адресант;;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 3 ноября 1836.;;;;;;
Хитрово, Елизавета Михайловна;дочь М. И. Кутузова, подруга А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 4 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. Н. Муравьеву. (1). Октябрь — начало ноября 1836.;;;;;;
Нащокин, Павел Воинович;меценат, коллекционер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Конец октября — начало ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Е. Ф. Канкрину. (1). 6 ноября 1836.;;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Первые числа ноября 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 9 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Б. Голицыну. (1). 10 ноября 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 10 ноября 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 11—12 ноября 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 14—15 ноября 1836.;;;;;;
Дантес, Жорж Шарль (Геккерн);французский монархист, офицер-кавалергард;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15—16 ноября 1836 .;;;;;;
Соллогуб, Владимир Александрович;чиновник, прозаик, драматург, поэт и мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 17 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;В. А. Соллогубу. (1). 17 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;М. Л. Яковлеву. (1). 19 ноября 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15—20 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестному. (1). Ноябрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Л. Геккерну. (1). 17—21 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). 21 ноября 1836.;;;;;;
