"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Азбукина, Е. П.";"Азбукина";"Е. П.";"Е. П.";"Азбукина";"Азбукиной";"";"Азбукина, Е. П.";"";""
"Академия наук";"Академия наук";"";"";"Академия наук";"Академии наук";"";"Академия наук";"";""
"Аксаков, Г. С.";"Аксаков";"Г. С.";"Г. С.";"Аксаков";"Аксакову";"";"Аксаков, Г. С.";"";""
"Аксаков, И. С.";"Аксаков";"Иван Сергеевич";"И. С.";"Аксаков";"Аксакову";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"";""
"Аксаков, Иван Сергеевич";"Аксаков";"Иван Сергеевич";"И. С.";"Аксаков";"Аксаков";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"";""
"Аксаков, К.";"Аксаков";"К.";"К.";"Аксаков";"Аксакову";"";"Аксаков, К.";"";""
"Аксаков, К. С.";"Аксаков";"Константин Сергеевич";"К. С.";"Аксаков";"Аксакову";"Аксаков, Константин Сергеевич";"Аксаков, К. С.";"";""
"Аксаков, Константин Сергеевич";"Аксаков";"Константин Сергеевич";"К. С.";"Аксаков";"Аксаков";"Аксаков, Константин Сергеевич";"Аксаков, К. С.";"";""
"Аксаков, С. Т.";"Аксаков";"Сергей Тимофеевич";"С. Т.";"Аксаков";"Аксакову";"Аксаков, Сергей Тимофеевич";"Аксаков, С. Т.";"";""
"Аксаков, Сергей Тимофеевич";"Аксаков";"Сергей Тимофеевич";"С. Т.";"Аксаков";"Аксаков";"Аксаков, Сергей Тимофеевич";"Аксаков, С. Т.";"";""
"Аксакова-Томашевская, М. С.";"Аксакова-Томашевская";"М. С.";"М. С.";"Аксакова-Томашевская";"Аксаковой-Томашевской";"";"Аксакова-Томашевская, М. С.";"";""
"Аксакова, А. Ф.";"Аксакова";"А. Ф.";"А. Ф.";"Аксакова";"Аксаковой";"";"Аксакова, А. Ф.";"";""
"Аксакова, В. С.";"Аксакова";"В. С.";"В. С.";"Аксакова";"Аксаковой";"";"Аксакова, В. С.";"";""
"Аксакова, О. С.";"Аксакова";"Ольга Семеновна";"О. С.";"Аксакова";"Аксаковой";"Аксакова, Ольга Семеновна";"Аксакова, О. С.";"";""
"Аксакова, Ольга Семеновна";"Аксакова";"Ольга Семеновна";"О. С.";"Аксакова";"Аксакова";"Аксакова, Ольга Семеновна";"Аксакова, О. С.";"";""
"Аксаковы";"Аксаковы";"";"";"Аксаков";"Аксаковым";"";"Аксаков";"";""
"Аксаковы, А. Ф.";"Аксаковы";"А. Ф.";"А. Ф.";"Аксаков";"Аксаковым";"";"Аксаков, А. Ф.";"";""
