автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Вульф, Анна Николаевна;дворянка, соседка А. С. Пушкина по имению и близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 2 июня 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;И. E. Великопольскому. (1). 3 июня 1826.;;;;;
Катенин, Павел Александрович;поэт, драматург, литературный критик, переводчик, театральный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 6 июня 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;Николаю I. (1). 11 мая—первая половина июня 1826.;;;;;
"Вяземский, Пётр Андреевич; Дельвиг, Антон Антонович";"поэт, литературный критик, историк, переводчик, публицист, мемуарист ; поэт, издатель, лицейский друг А. С. Пушкина";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 12 июня и вторая половина июня 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземскому. (1). 10 июля 1826.;;;;;
"Вяземский, Пётр Андреевич; Пушкина, Ольга Сергеевна (Павлищева)";"поэт, литературный критик, историк, переводчик, публицист, мемуарист; сестра А. С. Пушкина";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземский, О. С. Пушкина — А. С. Пушкину. (1). 31 июля 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. A. Вяземскому. (1). 14 августа 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;H. М. Языков — А. С. Пушкину. (1). 19 августа 1826.;;;;;
Адеркас, Борис Антонович;генерал-майор, действительный статский советник, Псковский и Воронежский губернатор;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 3 сентября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Осиповой. (1). 4 сентября 1826.;;;;;
Вульф, Анна Николаевна;дворянка, соседка А. С. Пушкина по имению и близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 11 сентября 1826.;;;;;
Дельвиг, Антон Антонович;поэт, издатель, лицейский друг А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 15 сентября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Осиповой. (1). 16 сентября 1826.;;;;;
Вульф, Анна Николаевна;дворянка, соседка А. С. Пушкина по имению и близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 16 сентября 1826.;с припиской A. П. Керн;;;;
Измайлов, Владимир Васильевич;писатель, журналист, цензор;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;А. С. Пушкину. (1). 29 сентября 1826.;;;;;
Бенкендорф, Александр Христофорович;"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 30 сентября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;В. В. Измайлову. (1). 9 октября 1826.;;;;;
Волконская, А.;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 29 октября 1826.;;;;;
Алексеев, Николай Степанович;офицер времён Отечественной войны, которому А. С. Пушкин посвятил свою поэму «Гавриилиада», а также стихотворения «Приятелю», «Мой милый, как несправедливы» (оба 1821), «Прощай, отшельник бессарабской» (1826);"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 30 октября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;В. А. Муханову. (1). 9 сентября—октябрь 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;В. A. Муханову. (1). 9 сентября—1 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;В. П. Зубкову. (1). 1—2 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;В. Ф. Вяземском. (1). 3 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;С. А. Соболевскому. (1). 9 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземскому. (1). 9 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;H. М. Языкову. (1). 9 ноября 1826.;;;;;
Погодин, Михаил Петрович;историк, коллекционер, журналист и публицист, писатель-беллетрист, издатель;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 15 ноября 1826.;;;;;
"Вяземская, Вера Фёдоровна; Вяземский, Пётр Андреевич";"жена П. А. Вяземского; поэт, литературный критик, историк, переводчик, публицист, мемуарист";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 19 ноября 1826.;;;;;
Бенкендорф, Александр Христофорович;"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;А. С. Пушкину. (1). 22 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;М. П. Погодину. (1). 29 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;А. X. Бенкендорфу. (1). 29 ноября 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;Н. С. Алексееву. (1). 1 декабря 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземскому. (1). 1 декабря 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;В. П. Зубкову. (1). 1 декабря 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;С. A. Соболевскому. (1). 1 декабря 1826.;;;;;
Бенкендорф, Александр Христофорович;"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 9 декабря 1826.;;;;;
Бенкендорф, Александр Христофорович;"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 14 декабря 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;И. Е. Великопольскому. (1). Первая половина декабря 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;H. М. Языкову. (1). 21 декабря 1826.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;Неизвестной. (1). Декабрь (не позднее 22) 1826.;;;;;
