автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Х. Д. Алчевской. (1). 2 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Полине Виардо. (1). 2 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Полине Виардо. (1). 5 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Е. И. Бларамберг. (1). 6 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;О. А. Новиковой. (1). 6 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Н. П. Гилярову-Платонову. (1). 7 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Е. И. Бларамберг. (1). 14 февраля – 7 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;С. А. Селиванову. (1). 14 февраля – 7 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Клоди Шамро. (1). 4, 9 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;М. М. Ковалевскому. (1). 9 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;О. А. Новиковой. (1). 9 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Устроителям литературного вечера в пользу Общества для пособия нуждающимся литераторам и ученым. (1). 9 марта 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Н. А. Щепкину. (1). 9 марта 1879.;;;;;
