;
В. П. Гаевскому. (1). 14 февраля 1850—1853.;
М. Л. Михайлову. (1). конец февраля 1853.;
В. П. Гаевскому. (1). 19 марта 1853.;
Л. Н. Толстому. (1). 6 апреля 1853.;
Д. В. Григоровичу. (1). 10 апреля 1853.;
В. П. Гаевскому. (1). вторая половина мая 1853.;
И. С. Тургеневу. (1). 6—9 июля 1853.;
М. Н. Лонгинову. (1). 13 августа 1853.;
И. С. Тургеневу. (1). 26 сентября 1853.;
В. П. Боткину. (1). конец сентября 1853.;
А. Н. Афанасьеву. (1). 5 октября 1853.;
И. С. Тургеневу. (1). 17 ноября 1853.;
В. П. Гаевскому. (1). 23 декабря 1853.;
А. Н. Майкову. (1). 10, 17, 24 декабря 1853.;
П. В. Анненкову. (1). 21 января 1854.;
Л. Н. Толстому. (1). 6 февраля 1854.;
В. П. Гаевскому. (1). 27 февраля 1854.;
М. В. Белинской. (1). 26 апреля 1854.;
В. П. Гаевскому. (1). 26 июня 1854.;
Л. Н. Толстому. (1). 10 июля 1854.;
М. Л. Михайлову. (1). 28 мая 1852 — сентября 1854.;
И. С. Тургеневу. (1). 6 октября 1854.;
И. С. Тургеневу. (1). 9 октября 1854.;
И. С. Тургеневу. (1). 16 октября 1854.;
И. С. Тургеневу. (1). 22 октября 1854.;
Л. Н. Толстому. (1). 2 ноября 1854.;
И. С. Тургеневу. (1). 6 ноября 1854.;
П. В. Анненкову. (1). конец декабря 1854.;
А. Н. Майкову. (1). 3 января 1855.;
П. В. Анненкову. (1). 12 января 1855.;
Л. Н. Толстому. (1). 17 января 1855.;
В. П. Гаевскому. (1). 21 января 1855.;
Л. Н. Толстому. (1). 27 января 1855.;
А. Н. Майкову. (1). конец февраля 1855.;
М. Л. Михайлову. (1). 13 марта 1855.;
И. С. Тургеневу. (1). 19 апреля 1855.;
К. Т. Солдатенкову. (1). 7 июня 1855.;
Л. Н.Толстому. (1). 15 июня 1855.;
И. С. Тургеневу. (1). 30 июня — 1 июля 1855.;
И. С. Тургеневу. (1). 14 июля 1855.;
Н. П. Трушковскому. (1). 16 июля 1855.;
И. А. Лебедеву. (1). 16 июля 1855.;
А. В. Дружинину. (1). 6 августа 1855.;
И. С. Тургеневу. (1). 12 августа 1855.;
Д. В. Григоровичу. (1). 18 августа 1855.;
И. С. Тургеневу. (1). 18 августа 1855.;
В. П. Боткину. (1). 1 сентября 1855.;
Д. В. Григоровичу. (1). 1 сентября 1855.;
Л. Н. Толстому. (1). 2 сентября 1855.;
В. П. Боткину. (1). 9 сентября 1855.;
Т. Н. Грановскому. (1). 9 сентября 1855.;
В. П. Боткину. (1). 16 сентября 1855.;
И. С. Тургеневу. (1). 17 сентября 1855.;
В. П. Боткину. (1). 18 сентября 1855.;
В. П. Боткину. (1). 24 сентября 1855.;
К. Т. Солдатенкову. (1). конец сентября — начало октября 1855. Отрывок;
В. П. Боткину. (1). 4 октября 1855.;
Д. В. Григоровичу. (1). 4 октября 1855.;
В. П. Боткину. (1). 8 октября 1855.;
В. П. Боткину. (1). 9 октября 1855.;
M. Е. Кублицкому. (1). 20 октября 1855.;
В. П. Боткину. (1). 14 ноября 1855.;
В. П. Боткину. (1). 24 ноября 1855.;
В. Н.Бекетову. (1). 17 декабря 1855.;
Я. П. Полонскому. (1). 22 декабря 1855.;
К. Т. Солдатенкову. (1). 24 декабря 1855. Отрывок;
