Н. Н. Рашет. (1). 16 октября 1870.;
П. В. Анненкову. (1). 18 октября 1870.;
Чарльзу Дильку. (1). 21 октября 1870.;
Н. Н. Рашет. (1). 21 октября 1870.;
Луи Поме. (1). 26 октября 1870.;
Я. П. Полонскому. (1). 27 октябри 1870.;
Н. А. Кишинскому. (1). 3 ноября 1870.;
Людвигу Пичу. (1). 3 ноября 1870.;
Н. Н. Рашет. (1). 3 ноября 1870.;
М. М. Стасюлевичу. (1). 3 ноября 1870.;
Н. С. Тургеневу. (1). 3 ноября 1870.;
H. А. Кишинскому. (1). 6 ноября 1870.;
Полине Брюэр. (1). 10 ноября 1870.;
Людвигу Фридлендеру. (1). 10 ноября 1870.;
Бернгарду Эриху Вере. (1). 10 ноября 1870.;
П. В. Анненкову. (1). 11 ноября 1870.;
П. В. Анненкову. (1). 20 ноября 1870.;
Полине Виардо. (1). 23 ноября 1870.;
Н. С. Тургеневу. (1). 24 ноября 1870.;
Н. В. Ханыкову. (1). 26 ноября 1870.;
Н. A. Кишинскому. (1). 26 ноября 1870.;
Н. А. Кишинскому. (1). 30 ноября 1870.;
М. Е. Салтыкову. (1). 30 ноября 1870.;
М. А. Милютиной. (1). 2 декабря 1870.;
М. М. Стасюлевичу. (1). 4 декабря 1870.;
Н. В. Ханыкову. (1). 7 декабря 1870.;
Полине Брюэр. (1). 9 декабря 1870.;
Ричарду Монктону Милису. (1). 11 декабря 1870.;
Н. В. Ханыкову. (1). 15 декабря 1870.;
П. В. Анненкову. (1). 19 декабря 1870.;
M. M. Стасюлевичу. (1). 20 декабря 1870.;
Людвигу Фридлендеру. (1). 25 декабря 1870.;
M. А. Милютиной. (1). 26 декабря 1870.;
Юлиусу Венедикту. (1). 27 декабря 1870.;
Н. А. Кишинскому. (1). 28 декабри 1870.;
Н. В. Ханыкову. (1). 29 декабря 1870.;
Н. С. Тургеневу. (1). 1862—1870.;
