автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
Л. Ф. Пантелееву. (1). 5 апреля 1886.;
Л. Ф. Пантелееву. (1). 14 апреля 1886.;
Г. Л. Кравцову. (1). 14 апреля 1886.;
Л. Ф. Пантелееву. (1). 7 июня 1886.;
Н. А. Белоголовому. (1). До 14 июня 1886.;
Н. А. Белоголовому. (1). 14 июня 1886.;
В. М. Соболевскому. (1). 28 июня 1886.;
Н. А. Белоголовому. (1). 29 июня 1886.;
Л. Ф. Пантелееву. (1). Конец июня 1886.;
М. Т. Лорис-Меликову. (1). 3 июля 1886.;
В. М. Лазаревскому. (1). 4 июля 1886.;
Л. Ф. Пантелееву. (1). 5 июля 1886.;
М. Т. Лорис-Меликову. (1). 6 июля 1886.;
В. М. Соболевскому. (1). 6 июля 1886.;
В. М. Соболевскому. (1). 9 июля 1886.;
В. П. Гаевскому. (1). 10 июля 1886.;
Н. А. Белоголовому. (1). 11 июля 1886.;
В. М. Лазаревскому. (1). 11 июля 1886.;
В. М. Соболевскому. (1). 19 июля 1886.;
Г. 3. Елисееву. (1). 24 июля 1886.;
А. Н. Пыпину. (1). 29 июля 1886.;
Н. А. Белоголовому. (1). 3 августа 1886.;
В. М. Лазаревскому. (1). 7 августа 1886.;
Л. Ф. Пантелееву. (1). 9 августа 1886.;
М. С. Скребицкон. (1). 13 августа 1886.;
Н. А. Белоголовому. (1). 14 августа 1886.;
А. Н. Пыпину. (1). 17 августа 1886.;
В. М. Соболевскому. (1). 20 августа 1886.;
Л. Ф. Пантелееву. (1). 22 августа 1886.;
В. М. Соболевскому. (1). 23 августа 1886.;
В. П. Гаевскому. (1). 27 августа 1886.;
В. М. Соболевскому. (1). 28 августа 1886.;
В. М. Соболевскому. (1). 28 августа 1886.;
В. М. Соболевскому. (1). 28 августа 1886.;
В. М. Соболевскому. (1). 5 сентября 1886.;
M. М. Стасюлевичу. (1). 7 сентября 1866.;
В. М. Соболевскому. (1). 8 сентября 1886.;
Н. А. Белоголовому. (1). 10 сентября 1886.;
В. М. Соболевскому. (1). 11 сентября 1886.;
В. M. Соболевскому. (1). 11 сентября 1886.;
В. М. Соболевскому. (1). 11 сентября 1886.;
В. М. Соболевскому. (1). 12—18 сентября 1886.;
А. А. Хомиховскому. (1). 18 сентября 1886.;
M. М. Стасюлевичу. (1). 19 сентября 1886.;
В. М. Соболевскому. (1). 20 сентября 1886.;
Н. А. Белоголовому. (1). 21 сентября 1886.;
В. М. Соболевскому. (1). 25 сентября 1886.;
M. М. Стасюлевичу. (1). 26 сентября 1886.;
В. М. Соболевскому. (1). 30 сентября 1886.;
В. М. Соболевскому. (1). 1 октября 1886.;
В. М. Соболевскому. (1). 7 октября 1886.;
Г. 3. Елисееву. (1). 10 октября 1886.;
В. М. Соболевскому. (1). 12 октября 1886.;
В. М. Соболевскому. (1). 12 октября 1886.;
В. М. Соболевскому. (1). 17 октября 1886.;
В. М. Соболевскому. (1). 21 октября 1886.;
M. М. Стасюлевичу. (1). 26 октября 1886.;
Н. А. Белоголовому. (1). 30 октября 1886.;
Г. 3. Елисееву. (1). 30 октября 1886.;
M. М. Стасюлевичу. (1). 30 октября 1886.;
M. М. Стасюлевичу. (1). 3 ноября 1886.;
Н. К- Михайловскому. (1). 12 ноября 1886.;
В. М. Соболевскому. (1). 12 ноября 1886.;
В. М. Соболевскому. (1). 17 ноября 1886.;
В. М. Соболевскому. (1). 26 ноября 1886.;
В. М. Соболевскому. (1). 29 ноября 1886.;
В. М. Соболевскому. (1). 3 декабря 1886.;
В. М. Соболевскому. (1). 9 декабря 1886.;
